Category,Description,Name,Url
Marketplace: E-commerce and Shopping: Consumer Electronics: Others,"harvey norman, australia�s leading retailer has a huge range of products now available to buy online. choose from computers, laptops, tvs, ipods, cameras, bedroom and lounge furniture, bed linen, mattresses, baths, spas, tiles, rugs, flooring, outdoor furniture and more from our online store to take care of all your online shopping needs.","Harvey Norman | Shop Online for Computers, Electrical, Furniture, Bedding, Bathrooms & Flooring | Harvey Norman Australia",https://www.harveynorman.com.au/
Marketplace,"live better for less with dshop - australia's independent department store. fast delivery australia wide. quality products, discount prices. furniture, sporting goods & more!","DSHOP | Everything Home & More! Live Better for Less with Dshop! Best Deals on Furniture, Exercise  ",https://www.dshop.com.au/
Consumer Electronics: Computer Hardware: Computers Electronics and Technology,"jaycar electronics offers electronics kits, components, semiconductors, enclosures, batteries & chargers, power supplies, test equipment, tools, speakers, car sound gear, computer accessories, lighting, hdmi accessories, tv antennas and more","Jaycar Electronics | Components, connectors, switches, power, and more",https://www.jaycar.com.au/
Fashion and Apparel: Beauty and Cosmetics: Lifestyle,"buy, sell, and discover fashion, home decor, beauty, and more","Poshmark: Buy and sell fashion, home decor, beauty & more",https://poshmark.com.au/
Web Hosting and Domain Names: Graphics Multimedia and Web Design: Computers Electronics and Technology,create a professional website with the wix website builder. choose a customizable designer-made template and add the features you need. get started today.,Free Website Builder | Create a Free Website | Wix.com,https://www.wix.com/
Furniture,massive online catalogue of discounts and a huge range of products available for online shopping in australia. all top retailers on a single website.,"Discounts Catalogue, Price Comparison and Deals from Top Brands",https://www.fabtastic.com.au/
Fashion and Apparel,"australia's go-to online fashion & lifestyle retailer. shop trending selections of clothing, sportswear, accessories, beauty products and more. free delivery & returns available.","
        Clothes & Shoes | Sports, Beauty & More Online | THE ICONIC    ",https://www.theiconic.com.au/
Automotive Industry: Makes and Models: Vehicles,"official site of nissan australia. browse nissan cars, 4x4s, large and small suvs and utes. view prices and offers, find a dealer or book a test drive today.",Nissan Australia | Explore Nissan cars and find a local dealer,https://www.nissan.com.au/
Marketplace: E-commerce and Shopping,Sorry.,Home,https://www.house.com.au/
E-commerce and Shopping: Marketplace,"saltpepper�s broad selection of dinnerware, kitchen accessories, home decorator and bathroom accessories are designed with individuality, creativity and the reality of affordable pricing in mind. accessorise your home with everyday elegance to suit every occasion. find a stockist near you now.",salt&pepper Homewares - Shop online now | salt&pepper,https://www.saltandpepper.com.au/
Health: Pharmacy: Beauty and Cosmetics,"chemist warehouse - we beat everyones prices? shop at our online pharmacy for authentic fragrances, prescriptions, vitamins, weight loss, baby care, perfume, aftershave, medicines...","
	Chemist Warehouse: Australia's Cheapest Online Pharmacy  
",https://www.chemistwarehouse.com.au/
Computers Electronics and Technology: Graphics Multimedia and Web Design: Programming and Developer Software,"convert pdfs into online flipbooks with flippingbook digital publishing tool. brand your flipbook, share it with clients, track stats, and more.",FlippingBook | Flipbook Maker for Digital Publishing,https://flippingbook.com/
Groceries,"the latest catalogues, specials and offers from the catalogue can be found online at catalogueoffers.com.au.",Find all the new catalogues and specials on Catalogueoffers.com.au,https://www.catalogueoffers.com.au/
Consumer Electronics,the leading search engine that engineers use to purchase electronic components from thousands of manufacturers and distributors.,Electronics Components | Electronic Source Book | SourceESB,https://sourceesb.com/
Consumer Electronics,Sorry.,Home - Radio Parts - Electronics & Components,https://www.radioparts.com.au/
Computer Hardware: Consumer Electronics: Programming and Developer Software: Others,"core electronics is a retailer for electronics in australia including arduino, raspberry pi, sparkfun and adafruit products. fast shipping and support.",Core Electronics | Electronics Australia,https://core-electronics.com.au/
Consumer Electronics: Computers Electronics and Technology,"digi-key offers 11.7m +  products from 1,900+ manufacturers. large in-stock quantities able to ship same day. paypal accepted, order online today!","
            DigiKey Electronics - Electronic Components Distributor
        ",https://www.digikey.com/
Home and Garden,"building your home or just swapping out your tapware, tradelink has you covered. explore our range of plumbing supplies online today.",Tradelink,https://tradelink.com.au/
Banking Credit and Lending: Finance: Financial Planning and Management,"compare and apply for some of the best credit cards offers in australia. score bonus points, great rewards, top cashback rates and more.",Best Credit Cards 2021 � Compare & Apply Online,https://www.creditcard.com.au/
Public Records and Directories: Maps,Sorry.,Life123.com - What's Your Question?,https://www.life123.com/
Jobs and Employment,Sorry.,"Scaler by InterviewBit: Where talent scales, together",https://www.scaler.com/
Jobs and Employment,hudson rpo is a global recruitment process outsourcing company providing outsourced recruiting solutions that target worldwide industry talent.,Talent Solutions & Recruitment Agency | Hudson Australia,https://au.hudson.com/
Marketplace: E-commerce and Shopping: Consumer Electronics: Others,Sorry.,Walmart.com | Save Money. Live Better,https://www.walmart.com/
Marketplace: E-commerce and Shopping: Consumer Electronics: Others,Sorry.,"Car news, reviews, videos - Car Advice and Guides - motoring.com.au",https://www.motoring.com.au/
Computers Electronics and Technology,"breaking technology news, analysis and opinion, tailored for australian cios, it managers and it professionals.",iTnews - For Australian Business,https://www.itnews.com.au/
Camping Scouting and Outdoors: Photography,Sorry.,iOverlander | Find your next destination,https://ioverlander.com/
Arts and Entertainment: Visual Arts and Design: Marketplace,"over 700,000 creatives worldwide making things like shirts, stickers, phone cases, and pillows weirdly meaningful. find your thing or open your own shop.",Awesome products designed by independent artists | Redbubble,https://www.redbubble.com/
News and Media,"live updates: get the latest breaking news from india and the world, health, politics, arts and entertainment, sports, business, education, technology and much more - firstpost.com","LIVE updates, Latest News, Breaking News, Bollywood, Business and Political News � Firstpost",https://www.firstpost.com/
Visual Arts and Design: E-commerce and Shopping,"shop art.com for the best selection of wall art and photo prints online! low price guarantee, fast shipping & free returns, and custom framing options you'll love.","Art.com | Wall Art, Framed Prints, Canvas Paintings & Decorative Artwork for Sale Online",https://www.art.com/
Visual Arts and Design,artist leonid afremov passed away. his family sell all afremov's paintings collection. thank you for your support. free fast shipping worldwide,Leonid Afremov online paintings gallery,https://afremov.com/
Computers Electronics and Technology,Sorry.,orvibo smart home,https://www.orvibo.com/
Consumer Electronics,"search for stock, prices and datasheets for electronic parts by distributor and manufacturer.","FindChips: Electronic Components, Distributor Inventories, Datasheets",https://www.findchips.com/
Automotive Industry,"australian-made automotive electronics, accessories and equipment designed to get the most out of your battery powered vehicle.","REDARC Electronics: Automotive Electronics, Accessories & Equipment | REDARC Electronics",https://www.redarc.com.au/
Dictionaries and Encyclopedias: TV Movies and Streaming,"explore the fact-checked online encyclopedia from encyclopaedia britannica with hundreds of thousands of objective articles, biographies, videos, and images from experts.",Encyclopedia Britannica | Britannica,https://www.britannica.com/
Publishing and Printing: Dictionaries and Encyclopedias: Biology: Others,"springer - our business is publishing. throughout the world, we provide scientific and professional communities with superior specialist information;","Springer - International Publisher Science, Technology, Medicine",https://www.springer.com/gp/
Universities and Colleges,"australia's largest student portal! find courses, scholarships and chat with students worldwide! - become a member now! sign up or login. study in australia.","OzStudies: Study in Australia | Universities, Courses, Scholarships",https://www.ozstudies.com/
Government,"transport and travel information to help you plan your public transport trip around nsw by metro, train, bus, ferry, light rail and coach. trip planner, travel alerts, tickets, opal fares, concessions and timetables.",Home | transportnsw.info,https://transportnsw.info/
Construction and Maintenance,"ghd is one of the world\'s leading professional services companies operating in the global market sectors of water, energy and resources, environment, property and buildings, and transportation.","
	
     
        GHD - A company offering engineering, architecture, environmental & construction services
    
",https://www.ghd.com/en/index.aspx/
Travel and Tourism: Ground Transportation: Restaurants and Delivery: Others,"learn how you can leverage the uber platform and apps to earn more, eat, commute, get a ride, simplify business travel, and more.",Earn Money by Driving or Get a Ride Now | Uber Australia,https://www.uber.com/au/en/
Accommodation and Hotels: Ground Transportation,transform the complicated activities of bus companies into a simple and natural process using powerful passenger transportation software,Simple Passenger Transportation Software by Sengerio,https://www.sengerio.com/
Travel and Tourism,gogo charters is the largest bus charter & bus rental company in north america.  the largest selection of charter buses & coach buses in the united states and the rest of north america. contact our staff 24/7 at 1-855-826-6770.,"Charter Bus, Minibus & Motorcoach Rentals | GOGO Charters",https://gogocharters.com/
Mental Health: Developmental and Physical Disabilities: Health: Others,jan home page,JAN - Job Accommodation Network,https://askjan.org/
Furniture: Home and Garden,"australia's best value furniture & bedding - secure online shopping. huge range of sofas, dining, mattresses and bedroom furniture, kids furniture & packages!","Fantastic Furniture | Furniture, Bedding & Home Accessories",https://www.fantasticfurniture.com.au/
Furniture,one of melbourne�s largest furniture store. showcasing a huge range of contemporary furniture to suit any home interior. our furniture prices prove we are always on sale.,Furniture Store Melbourne  | The Furniture Trader,https://furnituretrader.com.au/
Restaurants and Delivery: Groceries: Food and Drink: Others,"with good food to go, slurpees, quality $1 coffee, mobil fuel and more, 7-eleven australia is the go-to place for all your convenience store needs.",7-Eleven Australia | Wonderfully Easier,https://www.7eleven.com.au/
News and Media,"breaking news from sydney, australia and the world. features the latest business, sport, entertainment, travel, lifestyle, and technology news.",Australian Breaking News Headlines & World News Online | SMH.com.au,https://www.smh.com.au/
News and Media,"breaking news and analysis from time.com. politics, world news, photos, video, tech reviews, health, science and entertainment news.",TIME | Current & Breaking News | National & World Updates,https://time.com/
Online Marketing,"boost traffic and revenue with a full suite of seo and competitor analysis tools. discover new opportunities to find, reach, and convert your audience.","Keyword Research, Competitive Analysis, & Website Ranking | Alexa",https://www.alexa.com/
Investing,"stockmarket.com provides free stock quotes, stock charts, breaking stock news, top stock market stories, free stock analysis, sec filings, and more.","Stock Market News, Quotes, Charts and Financial Information | StockMarket.com",https://stockmarket.com/
Dictionaries and Encyclopedias,"dictionary.com is the world�s leading online source for english definitions, synonyms, word origins and etymologies, audio pronunciations, example sentences, slang phrases, idioms, word games, legal and medical terms, word of the day and more. for over 20 years, dictionary.com has been helping millions of people improve their use of the english language with its free digital services.",Dictionary.com | Meanings and Definitions of Words at Dictionary.com,https://www.dictionary.com/
Astronomy: Math,"current time (world clock) and online and printable calendars for countries worldwide. find the best time for web meetings (meeting planner) or use the time and date converters. online services and apps available for iphone, ipad, and android.",timeanddate.com,https://www.timeanddate.com/
Finance: Investing,"check free live currency rates, send fast money transfers to 130+ countries, and view currency data and analysis using the most accurate, up-to-the-minute data.",Currency Exchange Rates - International Money Transfer | Xe,https://www.xe.com/
Energy Industry,shell is a global group of energy and petrochemical companies. learn more about shell on our global website.,Shell Global | Shell  Global,https://www.shell.com/
Business Services: News and Media: Business and Consumer Services,"successfully start, grow, innovate, and lead your business today: ideas, resources, advice, support, tools, strategies, real stories, and real business examples. visit https://inc.com. subscribe to inc. magazine. attend inc. events.",Everything You Need to Know to Start and Grow Your Business,https://www.inc.com/
Computers Electronics and Technology: Programming and Developer Software,Sorry.,StackPath,https://www.cloudways.com/
Online Marketing,local marketing made simple. 1000s of agencies and businesses use brightlocal to get better local marketing results. try for free.,"BrightLocal - All-in-One Local SEO, Citations, and Review Management.",https://www.brightlocal.com/home/
Medicine: Health,Sorry.,Home | The Medical Journal of Australia,https://www.mja.com.au/
Travel and Tourism,Sorry.,PlanetWare - Travel Guides by the Experts,https://www.planetware.com/
Computers Electronics and Technology: Social Networks and Online Communities,"upwork connects businesses with freelancers, independent talent, and agencies around the globe. where companies and freelancers work together in new ways that unlock their potential.",Upwork | The World�s Work Marketplace for Freelancing,https://www.upwork.com/
Education,we are the global overseas education consultants helping students realize their study abroad dream. apply now!,Speak to us to explore your study and visa options | IDP Australia,https://www.idp.com/australia/
Travel and Tourism,"travel2next provides travel and vacation ideas, destinations, hotels and tips from experienced travel writers and other new media influencers.",Travel2Next | Travel and Vacation Ideas,https://travel2next.com/
Arts and Entertainment,"your ultimate guide to the best art and entertainment, food and drink, attractions, hotels and things to do in the world�s greatest cities.",Time Out | Best Things To Do and Events In Cities Worldwide,https://www.timeout.com/
Energy Industry: Construction and Maintenance: Chemical Industry,"learn about caltex singapore's high quality products and services ranging from techron fuels to lubricants, petrol stations and caltex cards.","Caltex Australia | Fuels, Lubricants & Convenience Retail",https://www.caltex.com.au/
Energy Industry,"our purpose is reimagining energy for people and our planet. we want to help the world reach net zero and improve people�s lives. we want to be an energy company with purpose; one that is trusted by society, valued by shareholders and motivating for everyone who works at bp.",Home,https://www.bp.com/
Jobs and Employment: Marketplace: Social Networks and Online Communities: Others,"ampol connects our proud history with everything our business is known for today, our trusted high-quality products, our commitment to customer service, local communities and the largest leading transport fuels network in australia.",Ampol | Fuels & Convenience Retail,https://www.ampol.com.au/
Automotive Industry: Vehicles,Sorry.,Mobil,https://www.mobil.com/en/
Construction and Maintenance: Home and Garden,*reader's digest trusted brands survey. explore why dulux is the destination for�making a house into a home.,"Dulux - Australia's Most Trusted Paint Brand*| Worth doing, worth Dulux",https://www.dulux.com.au/
Golf,watch live. see every shot. view scores. follow players. play fantasy.,,https://www.masters.com/index.html/
Music,"all colors, no genres. colors is a unique aesthetic music platform with diverse and exceptional artists from all around the globe.",COLORSxSTUDIOS,https://colorsxstudios.com/
Home Improvement and Maintenance: Home and Garden,"no matter where you are in the world or what surfaces you're painting or coating, sherwin-williams provides innovative paint solutions that ensure your success.","Sherwin-Williams Paints, Stains, Supplies and Coating Solutions",https://www.sherwin-williams.com/
Computers Electronics and Technology,"usability.gov is the one-stop source for user experience best practices and strategies. learn how to create more usable, useful, and accessible websites.",Home | Usability.gov,https://www.usability.gov/
Crafts: Photography,Sorry.,,https://www.crayola.com/
Science and Education: Education: Libraries and Museums: Others,welcome to color matters - everything about color - from color expert jill morton,"Color Matters welcomes you to the world of color: Symbolism, design, vision, science, marketing and more! ",https://www.colormatters.com/
Programming and Developer Software,"download one of nch software's many free software programs in the audio, video, business, graphics, computer utility and dictation space for windows or mac.",NCH Software - Download Free Software Programs Online,https://www.nchsoftware.com/
Education: Photography,"udemy is an online learning and teaching marketplace with over 155,000 courses and 40 million students. learn programming, marketing, data science and more.","Online Courses - Learn Anything, On Your Schedule | Udemy",https://www.udemy.com/
Public Records and Directories: Marketplace: Maps: Others,"find thousands of local businesses, read & write reviews, request quotes & more. are you an aussie business owner? take a look at our complete digital marketing service.",Localsearch | Find Local Businesses Australia with Reviews,https://www.localsearch.com.au/
Finance,"we're all about consumer reviews. get the real inside story from shoppers like you. read, write and share reviews on trustpilot today.",Trustpilot Reviews: Experience the power of customer reviews,https://au.trustpilot.com/
Shipping and Logistics,"at the leading edge of driving innovative technologies and responsible operations across the world.drawing on over 150 years of experience, we are leading the way in safety, efficiency, reliability, innovation, and productivity.�",Homepage | Wabtec Corporation,https://www.wabteccorp.com/
Consumer Electronics,save time and compare prices of electronic parts from hundreds of distributors on oemsecrets.com. search millions of electronic components to find the best prices from suppliers.,"Compare Electronic Parts, Components Prices & Inventory | oemsecrets.com",https://www.oemsecrets.com/
News and Media,Sorry.,Breaking International News & Views | Reuters,https://www.reuters.com/
E-commerce and Shopping: National Security: Coupons and Rebates: Others,"the latest new release books, bestselling authors, children's books, ebooks and more at dymocks online bookstore.","
	Dymocks - Buy books online from Australia's leading book retailer
",https://www.dymocks.com.au/
Books and Literature: E-commerce and Shopping: National Security,book depository is the world's most international online bookstore offering over 20 million books with free delivery worldwide.,"
	Book Depository: Free delivery worldwide on over 20 million books",https://www.bookdepository.com/
E-commerce and Shopping: Marketplace: Coupons and Rebates: Others,"shop online from fishpond.com.au, australia's biggest online store. millions of products at discount prices - it's shopping made easy.","Fishpond.com.au - Shop Online with Free Delivery on 10 million Books, DVDs, Toys & More to Australia",https://www.fishpond.com.au/
Marketplace: Computers Electronics and Technology,"productreview.com.au is a website devoted to providing consumer opinions on products, services and businesses in australia.",ProductReview.com.au,https://www.productreview.com.au/
Travel and Tourism,melbourne's favourite website for things to do in the world's most liveable city.. marvellous melbourne.,OnlyMelbourne - Things to do: events activities & what's on!,https://www.onlymelbourne.com.au/
Books and Literature,Sorry.,UNLIMITED Audiobooks and eBooks | All You Can Books | AllYouCanBooks.com,https://www.allyoucanbooks.com/
Biology: Science and Education: Education: Others,"first published in 1869, nature is the world�s leading multidisciplinary science journal. nature publishes the finest peer-reviewed research that drives ground-breaking discovery, and is read by thought-leaders and decision-makers around the world.",Nature,https://www.nature.com/
